epoch,train_loss,train_acc,test_loss,test_acc
1,0.198601,0.935557,0.009508,0.998389
2,0.022684,0.993361,0.012677,0.996456
3,0.010687,0.99687,0.009741,0.997745
4,0.010395,0.997917,0.005946,0.998389
5,0.010571,0.997032,0.004998,0.998389
