epoch,train_loss,train_acc,test_loss,test_acc
1,0.61011,0.767821,0.418892,0.840278
2,0.373737,0.858726,0.41658,0.846478
3,0.274399,0.901458,0.370471,0.864087
4,0.217447,0.920327,0.371704,0.867063
5,0.162306,0.943241,0.409364,0.872024
